,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
0,FIVN11,Shoppings,"R$ 3,25",387420.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 65.352.435,22","R$ 6,94",0.47,,,,,"56,00%",,1
1,BZLI11,Títulos e Val. Mob.,"R$ 17,01",20.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 433.127.158,26","R$ 10,49",1.62,,,,,,,0
2,XTED11,Lajes Corporativas,"R$ 8,82",22230.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.688.895,17","R$ 13,26",0.67,,,,,"0,00%","100,00%",1
3,ALMI11,Lajes Corporativas,"R$ 921,00",240.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.446.109,75","R$ 2.252,68",0.41,,,,,"64,05%",,1
4,PABY11,Híbrido,"R$ 20,54",5550.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -12.026.292,32","R$ -15,86",-1.3,,,,,,,1
5,ORPD11,Títulos e Val. Mob.,"R$ 11,00",500.0,"R$ 1,38",,,,,,,,,,,,"R$ 43.042.241,00","R$ 148,42",0.07,,,,,,,0
6,GSFI11,Shoppings,"R$ 5,10",17880.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 1.021.250.921,01","R$ 13,58",0.38,,,,,"10,30%",,10
7,NEWU11,Lajes Corporativas,"R$ 40,40",440.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 48.168.182,05","R$ 64,92",0.62,"0,12%","-0,31%","-0,19%","-0,19%","63,20%",,3
8,PRSV11,Lajes Corporativas,"R$ 139,35",260.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 47.486.481,43","R$ 243,52",0.57,,,,,"40,90%",,2
9,FAMB11B,Lajes Corporativas,"R$ 700,24",6110.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 317.236.778,23","R$ 3.027,07",0.23,,,,,"100,00%",,1
